,Video ID,Video Title,Duration in Minutes,Published Datetime
117,FolUgtmYYvo,"Brand New Courses Line Up, Introduction To Power Apps, New Events w/ eDNA Experts & More",63.72,2021-02-23 04:11:34
118,CagMTr6tYF8,Upcoming Enterprise DNA February 2020 Learning Summit - What You Will Learn,6.73,2020-02-05 06:41:47
119,#NAME?,How To Create Your Own Learning Plan,4.0,2021-08-25 08:50:00
120,qU7y9cEtgng,Power BI Mastermind w/Sam McKay & Brian Julius,77.77,2021-02-02 02:51:32
121,Rfy471YwHmU,"Event Preview & Registration - Enterprise DNA Learning Summit, May 2019",8.03,2019-05-15 07:32:42
122,g9qEmy_5i1o,How To Move From Excel User To Power BI & DAX Super User - Webinar,49.93,2017-03-14 22:54:21
123,0Ixf6F1a9kY,Need Private Support For Your Power BI Projects? Explore The Analyst Cloud,7.85,2020-05-08 05:07:17
124,CC3VvOPnlaY,Steps to Mastering Power BI & DAX - Intro,1.65,2017-12-19 21:52:20
125,Drd7uaO0BlU,Power BI Mastermind w/Sam McKay & Alex Badiu (Member-Only Event),58.42,2021-03-01 02:15:22
126,szmJPP0Wqr0,Understanding Your Customer Better with Power BI - Webinar,66.93,2016-12-06 08:00:07
127,rEUvbSdUn-I,Advanced Data Visualization Tips For Power BI,74.63,2021-02-25 21:20:45
128,186o2Dy4GxE,Steps To Mastering Power BI & DAX,59.92,2018-09-16 23:00:10
129,w5AN0k89hIs,Move From An Excel To Power BI Super User,78.52,2020-11-27 03:37:14
130,dwJk6lEt0gA,"Enterprise DNA Learning Summit - February 2019, Latest Visualization Tips & Tricks",40.02,2019-02-21 23:49:40
131,E7zo9odZw8s,"Enterprise DNA Power BI & DAX Master Class - Session 4, Advanced Analytics w/Power BI",78.12,2020-04-28 08:11:01
132,IrnS28sbis8,Evergreen - Steps to Mastering Power BI & DAX,68.68,2017-12-05 22:14:57
133,8jvPsm8BPPU,"New Course Content For 2021, How To Use The Analyst Hub, Get Involved In The Latest eDNA Initiatives",42.55,2021-01-25 21:45:05
134,RnR8zsJab7A,"Enterprise DNA Power BI & DAX Master Class - Session 2, Fundamentals of DAX",49.77,2020-04-28 14:55:10
135,uOyI_GTLkSc,Steps to Mastering Power BI & DAX - Webinar,49.8,2017-03-18 04:46:27
136,LVBAPEomYFU,"Enterprise DNA Power BI & DAX Master Class - Session 3, DAX Formula Combinations",73.95,2020-04-24 11:00:12
137,dR6N0PKZOcY,Enterprise DNA Learning Summit - August 2019 PREVIEW,8.25,2019-08-09 03:58:23
138,3A_jHpltsyM,Power BI Essentials For Global Analysts - Replay,55.13,2020-11-04 01:39:51
139,ZkGSEr4FISA,Financial Reporting Q&A - Member Only Event,41.93,2019-06-25 05:28:09
140,rSu00Y_r1dU,Rules around the Enterprise DNA Certification,3.12,2021-12-02 01:13:18
141,00vGT4E47Ug,How to obtain your certification,3.23,2021-12-02 01:09:25
142,Xi9VBdYxOxU,NEW Enterprise DNA Ad,1.3,2020-07-09 05:09:45
143,wSgJXGAJaz4,Reporting Templates Expanded - Power BI Visualization Concepts,8.97,2018-10-25 08:52:55
144,LUevMk9Q0eU,3 Visualization Tips You Can And Should Use In Your Power BI Reports,12.52,2020-08-26 13:00:06
145,v7IbV_XVKXI,Filter Context - (1.9) Ultimate Beginners Guide to DAX 2019,4.47,2018-02-25 23:54:52
146,tzH0AIO7s4o,Faster DAX w/ MSHGQM | Enterprise Analytics Summit Session 9,35.72,2022-02-22 20:40:01
147,IUI1M8HQenc,Dynamically Showcase Ranked Groups Visually Over Time In Power BI,14.07,2020-09-04 13:00:07
148,RgkWhTOtCK4,Power Automate Desktop | Enterprise Analytics Summit Session 19,44.7,2022-02-24 22:51:24
